swift_code,bic8,bank_name,address,town_name,country_iso2,country_name,is_headquarter
PTFIPLPWXXX,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,1
BREXPLPWMDM,BREXPLPW,MBANK S.A. (FORMERLY BRE BANK S.A.),"WSPOLNA 47/49  WARSZAWA, MAZOWIECKIE, 00-684",WARSZAWA,PL,POLAND,
CBCUUYMMGPA,CBCUUYMM,BANCO CENTRAL DEL URUGUAY,"FLORIDA PAYSANDU MONTEVIDEO, MONTEVIDEO, 11000",MONTEVIDEO,UY,URUGUAY,
CCUHMTMTXXX,CCUHMTMT,MONEYBASE,"FLOOR GF, EWROPA BUSINESS CENTRE TRIQ DUN KARM BIRKIRKARA, BIRKIRKARA, BKR 9034",BIRKIRKARA,MT,MALTA,1
PTFIPLPWAAP,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWADG,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWAMS,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWARA,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWARE,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWARJ,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
